VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,Area Code,Phone
0,148.8,246.5,129.8,12.1,3,70,25.3,164,20.95,103,5.84,3,3.27,415,403-9733
0,229.3,177.4,189.3,12,1,103,38.98,126,15.08,95,8.52,8,3.24,408,355-7251
0,192.1,169.9,166.6,11.4,1,97,32.66,94,14.44,54,7.5,4,3.08,408,359-5893
34,268.6,178.2,166.3,11.6,2,83,45.66,142,15.15,106,7.48,3,3.13,415,405-3371
33,193.7,246.1,138,14.6,2,91,32.93,96,20.92,92,6.21,3,3.94,510,344-5117
28,180.7,187.8,265.5,12.6,3,92,30.72,64,15.96,53,11.95,3,3.4,408,332-8160
0,131.2,162.9,159,8.2,2,98,22.3,97,13.85,106,7.15,6,2.21,408,359-4081
41,148.1,169.5,214.1,6.2,2,74,25.18,88,14.41,102,9.63,5,1.67,415,352-8305
0,251.5,212.8,157.8,9.3,0,105,42.76,104,18.09,67,7.1,4,2.51,415,329-9847
0,125.2,206.4,129.3,8.3,0,93,21.28,119,17.54,139,5.82,8,2.24,408,365-9011
0,211.6,216.9,153.5,7.8,1,70,35.97,80,18.44,60,6.91,1,2.11,408,338-9472
0,178.9,169.1,148.6,13.8,4,101,30.41,110,14.37,100,6.69,3,3.73,510,374-8042
0,241.8,170.5,295.3,11.8,3,93,41.11,83,14.49,104,13.29,7,3.19,408,359-1231
46,224.9,188.2,254.6,12.1,0,97,38.23,84,16,61,11.46,2,3.27,510,413-7170
0,248.6,148.9,172.5,8,3,83,42.26,85,12.66,109,7.76,4,2.16,510,415-2935
0,203.4,226.7,152.4,7.3,1,146,34.58,117,19.27,105,6.86,4,1.97,415,399-4246
0,235.8,157.2,188.2,12,0,109,40.09,94,13.36,99,8.47,3,3.24,415,362-5889
0,157.1,223.3,181.4,6.1,1,90,26.71,72,18.98,111,8.16,2,1.65,415,350-8921
0,300.3,181,270.1,11.7,0,109,51.05,100,15.39,73,12.15,4,3.16,415,374-5353
0,61.6,77.1,173,8.2,4,117,10.47,85,6.55,99,7.79,7,2.21,408,360-1171
0,214.1,164.4,177.5,8.2,2,72,36.4,104,13.97,113,7.99,3,2.21,415,355-8887
0,170.2,155.2,228.6,15,1,98,28.93,102,13.19,76,10.29,2,4.05,408,333-1967
0,201.1,303.5,224,13.2,1,99,34.19,74,25.8,119,10.08,2,3.56,415,354-4577
0,215.4,204.8,278.5,12.6,3,104,36.62,79,17.41,109,12.53,5,3.4,415,331-7425
25,165.6,136.1,175.7,11,3,123,28.15,95,11.57,90,7.91,2,2.97,408,419-2637
24,249.5,259.7,222.7,9.8,1,101,42.42,98,22.07,68,10.02,4,2.65,415,411-1530
0,210.6,249.2,191.4,12.4,2,96,35.8,85,21.18,88,8.61,1,3.35,510,395-3026
29,179.3,225.9,323,8.6,0,104,30.48,86,19.2,78,14.54,7,2.32,510,388-6441
0,157.9,155,189.6,8,4,105,26.84,101,13.18,84,8.53,5,2.16,408,402-1251
0,214.3,208.5,182.4,12,1,118,36.43,76,17.72,98,8.21,2,3.24,510,412-9997
35,154.1,123.4,202.1,10.9,2,104,26.2,84,10.49,57,9.09,9,2.94,415,346-7302
0,237.9,247.6,208.9,13.9,1,125,40.44,93,21.05,68,9.4,4,3.75,415,358-9095
0,143.9,194.9,109.6,11.1,1,61,24.46,105,16.57,94,4.93,2,3,510,400-9770
0,203.4,190.9,196,8.9,0,100,34.58,104,16.23,119,8.82,4,2.4,415,334-1275
0,124.3,173,253.2,7.9,1,100,21.13,107,14.71,62,11.39,9,2.13,415,340-4953
0,252.9,178.4,263.9,9.5,3,93,42.99,112,15.16,105,11.88,7,2.57,415,400-9510
0,179.1,190.6,127.7,10.6,3,71,30.45,81,16.2,91,5.75,7,2.86,415,387-6103
0,278.4,81,163.2,9.8,1,106,47.33,113,6.89,137,7.34,5,2.65,408,366-4467
0,160.1,213.3,174.1,13,0,110,27.22,72,18.13,72,7.83,4,3.51,415,370-3450
0,198.2,207.3,190.9,8.7,4,87,33.69,76,17.62,113,8.59,3,2.35,415,327-3954
0,212.1,209.4,167.2,5.3,1,131,36.06,104,17.8,96,7.52,5,1.43,408,355-6291
0,251.8,205.7,275.2,9.8,2,72,42.81,126,17.48,109,12.38,7,2.65,415,362-9748
21,161.2,252.2,160.2,4.4,4,114,27.4,83,21.44,92,7.21,8,1.19,510,379-6506
0,178.3,189,129.1,14.6,0,137,30.31,76,16.07,102,5.81,5,3.94,415,347-7741
0,151.7,119,180,10.5,0,82,25.79,105,10.12,100,8.1,6,2.84,415,354-3783
0,135,183.6,245.3,12.5,1,99,22.95,106,15.61,102,11.04,9,3.38,408,401-7594
0,170.5,173.7,248.6,11.3,1,94,28.99,109,14.76,75,11.19,2,3.05,408,397-4976
0,238.1,187.2,190,11.8,4,65,40.48,98,15.91,115,8.55,4,3.19,408,334-2577
29,281.4,202.2,187.2,9,2,102,47.84,76,17.19,113,8.42,6,2.43,510,400-3637
21,117.9,164.5,217,9.8,1,131,20.04,115,13.98,86,9.76,3,2.65,510,383-4361
32,148.6,131.1,219.4,10.1,1,91,25.26,97,11.14,142,9.87,1,2.73,415,371-4306
0,229.8,147.9,241.4,9.6,3,90,39.07,121,12.57,108,10.86,7,2.59,408,403-4298
0,165,317.2,119.2,8.3,1,100,28.05,83,26.96,86,5.36,8,2.24,408,409-3786
0,185,223.3,222.8,12.6,2,117,31.45,94,18.98,91,10.03,2,3.4,415,337-4697
0,161,190.9,227.7,12.1,4,117,27.37,113,16.23,113,10.25,4,3.27,408,383-1509
0,126.7,206,247.8,13.3,1,108,21.54,90,17.51,114,11.15,7,3.59,408,359-9794
0,58.9,169.6,211.4,9.4,1,125,10.01,59,14.42,88,9.51,3,2.54,415,407-7035
42,196.8,254.9,138.3,20,0,89,33.46,122,21.67,126,6.22,6,5.4,510,363-1069
0,162.6,152.3,57.5,14.2,1,83,27.64,109,12.95,122,2.59,3,3.83,510,391-4652
0,282.5,219.9,170,9.4,1,114,48.03,48,18.69,115,7.65,4,2.54,415,355-6837
36,113.7,157.5,177.6,10,2,117,19.33,82,13.39,118,7.99,3,2.7,510,409-1244
0,239.8,214.8,143.3,8.7,2,125,40.77,111,18.26,81,6.45,5,2.35,408,328-3266
0,210.2,227.3,200.1,13.1,1,92,35.73,77,19.32,116,9,7,3.54,408,352-7072
22,213.8,141.8,142.2,7.2,0,102,36.35,86,12.05,123,6.4,3,1.94,408,370-7550
0,190.7,183.5,220.8,9.8,3,103,32.42,117,15.6,103,9.94,4,2.65,510,369-5526
0,170.9,132.3,112.9,11.6,1,124,29.05,95,11.25,89,5.08,3,3.13,415,329-4391
0,154.2,110.2,227.4,9.2,2,119,26.21,98,9.37,117,10.23,5,2.48,510,408-4195
0,201.4,229.4,252.5,12,1,52,34.24,104,19.5,106,11.36,3,3.24,408,354-4445
0,70.7,157.5,154.8,9.1,4,108,12.02,87,13.39,82,6.97,3,2.46,415,335-4858
27,187.5,146.6,225.7,6.4,4,124,31.88,103,12.46,129,10.16,6,1.73,510,414-8718
0,91.7,193.7,175,9.2,2,90,15.59,123,16.46,86,7.88,4,2.48,408,409-5939
36,214.2,161.7,264.7,9.5,3,115,36.41,117,13.74,102,11.91,4,2.57,408,331-4902
0,145.5,217.7,146.9,10.9,3,92,24.74,114,18.5,123,6.61,2,2.94,415,353-6870
0,166.3,158.2,256.7,6.1,1,125,28.27,86,13.45,80,11.55,5,1.65,408,355-2909
0,231,230.4,261.4,9.5,1,115,39.27,140,19.58,120,11.76,3,2.57,415,390-6101
0,200.3,201.2,206.1,7.1,4,96,34.05,102,17.1,60,9.27,1,1.92,408,400-3446
0,197,202.6,206.4,9.1,1,109,33.49,128,17.22,80,9.29,10,2.46,408,411-5859
0,129.9,173.3,247.2,11.2,3,112,22.08,83,14.73,130,11.12,3,3.02,510,387-2919
21,175.8,217.5,237.5,5.3,5,97,29.89,106,18.49,134,10.69,4,1.43,415,374-8525
0,203.1,210.1,195.6,12,3,106,34.53,113,17.86,129,8.8,3,3.24,510,379-5592
36,183.2,126.8,263.3,11.2,1,117,31.14,76,10.78,71,11.85,8,3.02,510,345-8237
23,205,152,158.6,10.2,2,101,34.85,60,12.92,59,7.14,5,2.75,415,422-6690
0,148.5,276.4,193.6,12.4,1,115,25.25,84,23.49,112,8.71,3,3.35,510,346-2359
39,200.3,220.4,253.8,10.5,0,68,34.05,97,18.73,116,11.42,4,2.84,415,374-3534
28,192.6,195.5,109.7,6.8,3,107,32.74,74,16.62,139,4.94,5,1.84,415,381-4756
0,246.5,195.5,200.5,11.7,1,47,41.91,84,16.62,96,9.02,4,3.16,510,390-2805
0,167.1,177.5,249.4,14.1,2,86,28.41,87,15.09,132,11.22,7,3.81,408,390-2390
0,231.9,160.1,110.4,14.3,3,101,39.42,94,13.61,98,4.97,6,3.86,415,419-9097
0,146.7,203.5,203.4,13.7,1,91,24.94,78,17.3,110,9.15,3,3.7,408,386-7281
0,271.5,216.3,121.1,11.7,1,87,46.16,126,18.39,105,5.45,4,3.16,408,380-3561
0,181.5,218.4,161.6,8.5,1,121,30.86,98,18.56,103,7.27,5,2.3,408,390-8760
43,257.7,162.1,286.9,11.1,2,97,43.81,95,13.78,86,12.91,4,3,408,366-6730
0,193.8,221.4,172.3,10.6,1,99,32.95,125,18.82,67,7.75,6,2.86,408,395-5285
0,102.8,206.7,299,10.1,1,119,17.48,91,17.57,105,13.46,7,2.73,415,354-3436
0,187.9,157.6,227.3,7.5,1,116,31.94,117,13.4,86,10.23,6,2.03,408,336-7600
0,226,248.5,140.5,6.9,1,112,38.42,118,21.12,142,6.32,11,1.86,415,383-6293
0,260.4,146,269.5,11.5,5,115,44.27,46,12.41,87,12.13,4,3.11,415,362-4596
0,178.7,292.1,265.9,9.8,0,116,30.38,138,24.83,101,11.97,4,2.65,408,401-3926
0,337.4,227.4,153.9,15.8,0,120,57.36,116,19.33,114,6.93,7,4.27,415,370-9116
23,157.6,247,259.2,13.7,0,129,26.79,96,21,112,11.66,2,3.7,510,328-6289
0,183.6,256.7,178.6,10.2,1,117,31.21,72,21.82,79,8.04,2,2.75,510,350-9994
24,142.1,183.4,164.8,9.6,1,124,24.16,129,15.59,114,7.42,4,2.59,510,351-4616
0,136.3,172.2,137.5,7.1,0,97,23.17,108,14.64,101,6.19,5,1.92,415,360-5779
0,217.1,241.5,253.5,12,0,110,36.91,111,20.53,103,11.41,6,3.24,415,417-4885
36,187.5,241.4,229.5,10.5,3,99,31.88,116,20.52,105,10.33,5,2.84,510,406-4710
0,98.9,135.4,236.6,12.2,1,103,16.81,122,11.51,82,10.65,1,3.29,415,409-8743
0,206.3,148.6,167.2,6.1,1,151,35.07,89,12.63,91,7.52,3,1.65,415,335-4584
33,243.1,213.8,228.7,12.1,2,92,41.33,92,18.17,104,10.29,2,3.27,415,361-9845
31,189.8,163.3,264.8,7.5,1,126,32.27,133,13.88,126,11.92,3,2.03,510,366-5699
0,202,243.2,261.3,10.9,1,102,34.34,128,20.67,90,11.76,3,2.94,415,329-9364
38,170.1,193.3,105.9,12.8,1,124,28.92,116,16.43,73,4.77,4,3.46,408,390-7434
0,230.9,187.4,154,6.3,0,87,39.25,90,15.93,53,6.93,2,1.7,510,404-9680
0,237.1,223.5,97.4,13.2,1,105,40.31,105,19,79,4.38,2,3.56,408,338-9398
27,182.1,169.7,164.7,10.6,2,91,30.96,98,14.42,86,7.41,5,2.86,408,394-2445
0,119.3,211.5,268.9,10.5,3,87,20.28,101,17.98,86,12.1,4,2.84,415,381-2709
0,116.8,178.9,182.4,14.1,1,87,19.86,93,15.21,150,8.21,2,3.81,415,397-5060
0,219.2,149.4,244.7,6.1,0,92,37.26,125,12.7,104,11.01,5,1.65,408,415-2393
0,252.6,169,170.9,11.1,2,104,42.94,125,14.37,106,7.69,7,3,415,377-1765
0,147.1,190.4,195.2,12.2,0,91,25.01,107,16.18,115,8.78,3,3.29,415,409-2111
0,202.1,229.4,195.2,11.5,2,103,34.36,86,19.5,113,8.78,3,3.11,415,401-3170
0,173.5,194.1,208,16.2,3,93,29.5,76,16.5,112,9.36,10,4.37,408,405-5681
0,232.1,292.3,201.2,0,3,122,39.46,112,24.85,112,9.05,0,0,408,411-4582
23,197.1,214.5,282.2,9.5,4,125,33.51,136,18.23,103,12.7,5,2.57,510,355-5009
0,58.2,138.7,136.8,11.9,5,94,9.89,118,11.79,91,6.16,1,3.21,415,372-3750
36,115.6,237.7,169.9,9.9,2,111,19.65,94,20.2,103,7.65,12,2.67,408,405-2888
0,186.1,254.3,214,14.6,2,98,31.64,57,21.62,127,9.63,7,3.94,408,361-3337
0,259.9,245,134.4,8.4,3,68,44.18,122,20.83,121,6.05,3,2.27,510,350-1639
0,214.3,268.5,241.2,10.8,1,145,36.43,135,22.82,92,10.85,13,2.92,415,333-3221
0,158.7,64.3,198.5,10.2,1,74,26.98,139,5.47,103,8.93,4,2.75,408,422-1471
0,271.6,229.4,77.3,10.9,2,71,46.17,108,19.5,121,3.48,3,2.94,415,399-7865
0,160.6,163.2,187.1,9,1,111,27.3,126,13.87,112,8.42,3,2.43,510,373-4819
0,232.4,187.4,231.2,9.1,1,109,39.51,95,15.93,107,10.4,3,2.46,408,338-6981
0,133.8,180.5,112.2,8.9,0,85,22.75,94,15.34,115,5.05,4,2.4,415,418-4365
0,176.9,90.7,238,9.5,1,109,30.07,104,7.71,69,10.71,2,2.57,415,359-5461
0,209.9,195.1,208.2,8.8,2,74,35.68,77,16.58,119,9.37,4,2.38,408,375-3586
0,137.5,203.2,150,13.4,0,118,23.38,88,17.27,131,6.75,2,3.62,415,407-8376
23,289.5,166.6,119.1,9.5,1,52,49.22,111,14.16,88,5.36,4,2.57,408,408-6496
23,198.1,177,180.5,6.8,1,86,33.68,86,15.05,92,8.12,6,1.84,415,385-7688
0,149.7,182.2,261.5,9.7,0,119,25.45,115,15.49,126,11.77,8,2.62,415,332-6934
0,326.5,176.3,181.7,10.7,2,67,55.51,113,14.99,102,8.18,6,2.89,510,378-3625
26,292.9,199.7,255.3,13.8,4,101,49.79,97,16.97,127,11.49,7,3.73,510,353-7292
0,83,177,245.7,13,0,64,14.11,106,15.05,89,11.06,3,3.51,408,399-6786
24,145.7,220.5,249.9,13.1,3,146,24.77,136,18.74,96,11.25,5,3.54,415,358-3261
0,182.3,328.2,245,11.2,2,101,30.99,93,27.9,131,11.03,1,3.02,408,377-9932
0,218,184,240.5,6.4,3,86,37.06,94,15.64,110,10.82,8,1.73,415,397-4030
0,140.6,178.6,217,6.8,2,109,23.9,51,15.18,83,9.76,3,1.84,510,367-1062
0,152.7,257.5,198.1,9.4,1,105,25.96,80,21.89,93,8.91,4,2.54,415,341-8467
36,106.7,209.8,190.4,12.1,1,76,18.14,77,17.83,117,8.57,2,3.27,415,339-9453
0,243.8,83.9,179.8,13.7,2,98,41.45,72,7.13,84,8.09,8,3.7,415,344-3388
0,194.4,186.7,223.3,10.8,3,94,33.05,95,15.87,90,10.05,5,2.92,415,375-8013
0,213.9,151.9,260.1,12.2,3,95,36.36,70,12.91,124,11.7,5,3.29,510,408-4142
0,217.2,246.7,226.1,15.8,3,112,36.92,89,20.97,89,10.17,7,4.27,510,386-3671
0,241.1,155.6,188.2,11.6,1,72,40.99,98,13.23,109,8.47,10,3.13,415,411-2284
0,203.5,247.6,194.3,11.9,0,100,34.6,103,21.05,94,8.74,11,3.21,510,346-7795
24,155.2,244.5,122.4,10.7,1,131,26.38,106,20.78,68,5.51,3,2.89,415,333-5609
31,167.6,113,246.9,12.2,1,139,28.49,118,9.61,121,11.11,6,3.29,408,405-1842
0,226.7,228.1,73.2,17.6,2,98,38.54,115,19.39,93,3.29,4,4.75,510,366-6345
0,179.3,178.6,225.2,11.5,3,93,30.48,98,15.18,131,10.13,6,3.11,415,337-9345
0,151.4,186.4,172.5,10.9,0,89,25.74,76,15.84,120,7.76,3,2.94,415,328-6770
0,180,224.2,265.4,4.7,3,80,30.6,82,19.06,91,11.94,7,1.27,415,380-7321
0,250.2,267.1,151,13,1,121,42.53,118,22.7,114,6.8,2,3.51,415,375-1476
0,223,110.1,188.7,7.1,0,121,37.91,98,9.36,107,8.49,12,1.92,415,356-1567
0,183.6,152.6,212.2,12.2,3,116,31.21,98,12.97,99,9.55,6,3.29,415,422-6685
22,166,174.5,244.9,10.2,1,114,28.22,103,14.83,68,11.02,6,2.75,408,336-1090
0,136.1,272.9,220.2,4.4,1,112,23.14,96,23.2,104,9.91,2,1.19,415,343-2095
0,149.3,242.2,174.3,8.9,2,113,25.38,122,20.59,104,7.84,6,2.4,408,345-3934
0,65.4,168.2,236,13.8,2,97,11.12,76,14.3,113,10.62,1,3.73,408,338-8050
0,213.4,234.5,250.1,2.7,1,111,36.28,94,19.93,123,11.25,4,0.73,415,388-9568
0,206.9,244.7,221.5,7.7,3,85,35.17,78,20.8,136,9.97,2,2.08,415,402-6591
27,186.2,189.6,76.5,9.6,2,78,31.65,83,16.12,139,3.44,3,2.59,408,403-6419
23,280.2,220.5,136.9,13.3,4,136,47.63,92,18.74,102,6.16,3,3.59,415,386-9790
22,196.6,313.2,163.3,11.9,0,84,33.42,92,26.62,108,7.35,3,3.21,415,378-5692
0,312,129.4,217.6,10.5,0,109,53.04,100,11,74,9.79,2,2.84,408,360-3324
36,199,291.3,197.6,11,1,110,33.83,111,24.76,92,8.89,6,2.97,415,410-3719
0,203.1,217,180.9,13.5,3,96,34.53,126,18.45,122,8.14,2,3.65,415,352-4221
0,168.8,220.3,154.3,10.9,0,97,28.7,87,18.73,113,6.94,2,2.94,415,327-6179
0,173.1,240.3,233.2,9,1,140,29.43,105,20.43,117,10.49,5,2.43,415,359-6196
0,134.4,211.3,193.6,10.2,5,106,22.85,98,17.96,125,8.71,2,2.75,510,374-9107
40,202.6,118.8,234.9,9,2,103,34.44,128,10.1,98,10.57,9,2.43,408,357-4078
0,74.5,200.8,192.2,9.8,3,117,12.67,98,17.07,101,8.65,7,2.65,408,366-5780
0,83.6,120.9,226.6,10.7,0,148,14.21,91,10.28,110,10.2,9,2.89,510,393-9619
0,192.2,168.6,139.8,9.4,1,86,32.67,116,14.33,87,6.29,6,2.54,415,355-9295
0,220.2,88.3,195.3,12.9,0,89,37.43,125,7.51,79,8.79,5,3.48,510,400-5751
0,135.1,134.1,223.1,12.3,2,95,22.97,102,11.4,81,10.04,2,3.32,415,338-1027
0,253.4,182.4,275.8,8.4,1,77,43.08,151,15.5,103,12.41,2,2.27,415,405-8867
0,225,176.9,194.3,7.1,3,81,38.25,63,15.04,110,8.74,2,1.92,408,336-5616
0,198.5,267.8,354.9,9.4,0,99,33.75,60,22.76,75,15.97,3,2.54,408,335-1697
0,110.3,166.5,202.3,9.5,0,107,18.75,93,14.15,96,9.1,5,2.57,408,331-5138
37,60,102.2,261.8,11.1,0,102,10.2,80,8.69,106,11.78,3,3,415,385-8240
0,214.8,149.7,283.4,10.2,0,94,36.52,58,12.72,66,12.75,5,2.75,510,348-1359
0,181.8,202.4,245.9,9.2,4,85,30.91,98,17.2,97,11.07,2,2.48,408,354-7339
23,154,278,228.4,11.8,2,114,26.18,137,23.63,112,10.28,4,3.19,510,349-1687
29,157.4,117.9,279.2,13.9,4,99,26.76,80,10.02,79,12.56,11,3.75,415,380-2558
0,207.9,172,191.8,14.4,4,91,35.34,109,14.62,143,8.63,7,3.89,415,365-2153
0,207,232.9,172.4,9.1,3,90,35.19,83,19.8,108,7.76,8,2.46,408,345-6043
41,119,230,236.9,9.5,0,101,20.23,134,19.55,58,10.66,3,2.57,510,349-2808
0,143.7,273,178.3,10.9,0,117,24.43,82,23.21,81,8.02,3,2.94,415,411-1715
32,165.9,216.5,173.1,14.1,4,126,28.2,93,18.4,86,7.79,8,3.81,408,385-2488
0,138.6,172.3,231.6,9.8,1,122,23.56,117,14.65,92,10.42,3,2.65,510,377-7177
0,84.7,249.9,193.4,14.5,1,118,14.4,86,21.24,95,8.7,8,3.92,415,342-1099
0,62.6,180.6,221.7,10.4,1,111,10.64,126,15.35,80,9.98,2,2.81,408,386-4170
0,155.2,235.3,169.4,8.7,1,79,26.38,123,20,80,7.62,4,2.35,510,413-1269
25,164.9,209.3,231.2,6.7,1,110,28.03,105,17.79,55,10.4,9,1.81,510,396-4460
0,134.5,143.1,223.9,15.4,1,88,22.87,112,12.16,61,10.08,1,4.16,408,334-2730
0,143.3,211.3,185.2,11.5,1,103,24.36,108,17.96,96,8.33,3,3.11,415,340-3182
0,168.3,221.2,241,12.5,1,110,28.61,73,18.8,136,10.85,1,3.38,510,377-8608
0,262.4,194.6,146.5,8.3,2,55,44.61,113,16.54,85,6.59,6,2.24,408,417-3676
30,206.2,260,291.6,11.4,1,79,35.05,91,22.1,83,13.12,6,3.08,510,417-6774
28,225.8,193,232.4,8.4,4,94,38.39,117,16.41,100,10.46,9,2.27,510,411-9554
0,138.3,170.5,263.9,13.5,3,89,23.51,78,14.49,98,11.88,6,3.65,408,420-3192
48,94.4,136.2,147.4,4.5,0,104,16.05,101,11.58,89,6.63,4,1.22,510,389-1475
0,160,175.4,184.8,9.9,2,123,27.2,96,14.91,99,8.32,3,2.67,408,343-7734
0,206.6,224.9,249.9,14.6,0,105,35.12,117,19.12,100,11.25,3,3.94,415,410-3390
0,134.7,180,200.9,7.7,1,121,22.9,83,15.3,104,9.04,3,2.08,415,344-6495
28,214.4,235.2,206.2,8,3,78,36.45,100,19.99,107,9.28,13,2.16,415,331-6229
0,192.8,234.4,203.2,13,3,104,32.78,96,19.92,101,9.14,3,3.51,415,337-7501
28,151.1,194.8,239.2,10,1,90,25.69,79,16.56,114,10.76,3,2.7,408,339-9631
